pub_date,headline,snippet,section,source,news_desk,type_of_material,web_url
2020-12-10T14:01:02Z,"Taylor Swift Announces Second Surprise Quarantine Album, ‘Evermore’","The “sister record” to her Grammy-nominated “Folklore” again features Aaron Dessner, Jack Antonoff and Justin Vernon, along with new collaborators.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2020/12/10/arts/music/taylor-swift-surprise-album-evermore.html
2021-03-15T00:15:43Z,Grammys 2021: Women Sweep Awards Shaped by Pandemic and Protest,"Beyoncé broke a record, Megan Thee Stallion and H.E.R. won awards, Taylor Swift’s “Folklore” was named album of the year and Billie Eilish’s “Everything I Wanted” record of the year.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/03/14/arts/music/grammy-awards-beyonce-taylor-swift.html
2018-10-11T10:00:04Z,I Loved Kanye West and Hated Taylor Swift. Then 2018 Happened.,Never in my wildest dreams did I imagine I would ever side with Taylor Swift.,Opinion,The New York Times,OpEd,Op-Ed,https://www.nytimes.com/2018/10/11/opinion/kanye-taylor-swift-white-house.html
2018-10-08T03:44:05Z,"Taylor Swift, Apolitical No More, Endorses Democratic Candidates in Tennessee","In an Instagram post on Sunday, the pop music titan broke her political silence and explained why she planned to vote for two Democrats in the midterm election.",Arts,The New York Times,Express,News,https://www.nytimes.com/2018/10/07/arts/music/taylor-swift-politics-endorsements.html
2018-05-09T22:36:22Z,Taylor Swift and Katy Perry Ended Bad Blood With an Olive Branch. Here’s How It Started.,"Ms. Perry sent a literal olive branch to Ms. Swift, a turning point in a yearslong public fight.",Arts,The New York Times,Express,News,https://www.nytimes.com/2018/05/09/arts/music/katy-perry-taylor-swift.html
2018-12-27T17:31:11Z,"Your Questions About Pop Music, Answered (or Ruled Unanswerable)","The Popcast wraps 2018 discussing Nicki Minaj, Taylor Swift, streaming and crying.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/12/27/arts/music/popcast-year-end-reader-mailbag.html
2018-11-19T16:24:27Z,Taylor Swift Announces New Record Deal With Universal Music,"After more than a decade on the Nashville-based Big Machine Records, Swift is moving on, securing ownership of her master recordings with her label.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/11/19/arts/music/taylor-swift-record-deal-universal-republic.html
2018-12-13T23:02:06Z,Taylor Swift Said to Use Facial Recognition to Identify Stalkers,"A security consultant told Rolling Stone that at a concert, a device took fans’ photos for comparison with a database of potential stalkers.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/12/13/arts/music/taylor-swift-facial-recognition.html
2018-10-11T00:19:43Z,"Of Trump, Taylor Swift and the Cat","And now, on the lighter side of the news.…",Opinion,The New York Times,OpEd,Op-Ed,https://www.nytimes.com/2018/10/10/opinion/trump-taylor-swift-cat.html
2018-10-13T18:30:04Z,"Taylor Swift, the Grown-Up in the Room",Tennessee progressives were unhappy with their options in a close Senate race. A 28-year-old pop star explained the stakes. ,Opinion,The New York Times,OpEd,Op-Ed,https://www.nytimes.com/2018/10/13/opinion/sunday/taylor-swift-phil-bredesen-marsha-blackburn.html
2018-10-09T19:49:54Z,Voter Registrations Spike as Deadlines Loom. Taylor Swift Had Something to Do With It.,"Registrations on Vote.org typically increase in October, the month before Election Day, but “this is leaps and bounds beyond what we typically see,” a spokeswoman said.",U.S.,The New York Times,Express,News,https://www.nytimes.com/2018/10/09/us/politics/taylor-swift-voter-registration.html
2018-11-09T00:18:05Z,"Taylor Swift, Donald Trump and an America That Confounds the World","This week’s Australia Letter dives into what’s going on in the U.S.A., with help from a concert in Sydney.",World,The New York Times,Foreign,briefing,https://www.nytimes.com/2018/11/08/world/australia/taylor-swift-sydney-donald-trump-midterms-america.html
2018-07-20T16:55:48Z,Taylor Swift and Jennifer Hudson to Star in ‘Cats’ Movie Adaptation,"James Corden and Ian McKellen will also be a part of the Andrew Lloyd Webber musical, directed by Tom Hooper.",Movies,The New York Times,Culture,News,https://www.nytimes.com/2018/07/20/movies/cats-james-corden-taylor-swift.html
2018-10-23T20:00:03Z,"Snapchat Helped Register Over 400,000 Voters","Snap, the company behind the popular social media service, said much of the activity happened in key battleground states like Texas, Florida and Georgia.",Technology,The New York Times,Business,News,https://www.nytimes.com/2018/10/23/technology/snapchat-voter-registration-midterms.html
2018-10-08T17:20:20Z,Taylor Swift Gets Political and More: Your Monday Pop Culture Cheat Sheet,"What you need to know from today’s TV, music and movie news.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/10/08/arts/taylor-swift-politics-pop-culture-news.html
2018-05-09T13:29:57Z,"Taylor Swift Begins Her ‘Reputation’ Tour, Taking on Foes and Her Old Self",The singer’s “Reputation” stadium tour sought to complete her transformation from warm pop superstar to something more coldblooded.,Arts,The New York Times,Culture,Review,https://www.nytimes.com/2018/05/09/arts/music/taylor-swift-reputation-tour-review.html
2017-11-14T14:32:46Z,Taylor Swift’s ‘Reputation’ Has Arrived. Let’s Discuss.,"Ms. Swift plays a different game on her sixth album — making pop music that directly competes with the rest of the field’s dominant players. A panel discussion, on Popcast.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/11/14/arts/music/popcast-taylor-swift-reputation.html
2017-11-09T17:16:59Z,Taylor Swift’s ‘Reputation’ Is Almost Here. Let’s Discuss.,"She hasn’t done interviews, but the pop star has been leaving hints about what to expect on her sixth album. Our writers listen to the signs, on Popcast.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2017/11/09/arts/music/popcast-taylor-swift-reputation-preview.html
2018-12-07T17:23:20Z,Taylor Swift? Cardi B? The 2019 Grammy Nominations’ Snubs and Surprises,Younger artists racked up more nods than legacy rock acts — and one of pop’s biggest stars — as the Grammys made some major adjustments.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/12/07/arts/music/grammy-nominations-snubs-surprises.html
2018-11-19T18:43:05Z,5 Things to Know in Pop Culture Today,"Taylor Swift’s new record deal, weird props for sale and more from Monday’s TV, music and movie news.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/11/19/arts/karen-o-taylor-swift-viola-davis.html
2018-10-10T09:43:20Z,"Hurricane Michael, Nikki Haley, Taylor Swift: Your Wednesday Briefing",Here’s what you need to know to start your day.,Briefing,The New York Times,NYTNow,briefing,https://www.nytimes.com/2018/10/10/briefing/hurricane-michael-nikki-haley-taylor-swift.html
2018-01-01T21:17:01Z,Taylor Swift’s ‘Reputation’ Takes Back No. 1 on the Chart,This is the fourth time her album has returned to Billboard’s top spot. She was followed by Ed Sheeran at No. 2 and Huncho Jack at No. 3.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2018/01/01/arts/music/taylor-swifts-reputation-takes-back-no-1-on-the-chart.html
